  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 13:40:33	   7.000	  -0.005	   25.68	 1011.51	   16.87	   157.6	     8.6	    70.6	    64.2	   204.3	    -3.0	   0.000	   1.215	    60.2	    10.0	  110978	   18.00	   18.00	    0.09	    0.10	    0.00	  21.826	  21.402	  15.562	  15.291	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 13:41:44	   7.000	  -0.005	  103.82	 1011.53	   16.76	   661.6	   -36.1	   311.9	   317.7	   465.8	    17.7	   0.000	   1.215	   242.2	    20.0	  222695	   21.00	   21.00	   -0.19	   -0.16	    0.00	  20.799	  20.544	  15.378	  15.093	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 13:42:49	   2.507	  -0.005	  105.26	 1011.55	   16.74	   353.4	   -15.6	   182.1	   176.0	   224.5	     6.5	   0.000	   1.216	   245.6	    20.1	  224248	   44.60	   44.60	    0.32	    0.33	    0.00	  20.039	  19.861	  40.630	  39.741	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 13:43:55	  -5.003	  -0.005	  234.59	 1011.53	   16.89	   777.0	    -7.3	  -522.6	  -501.1	   873.9	   -28.5	   0.000	   1.215	   548.0	    30.0	  334785	   65.30	   65.30	    0.71	    0.65	    0.00	  19.539	  19.474	  49.297	  48.386	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 13:44:55	  -5.003	  -0.005	  234.14	 1011.52	   16.96	  1207.6	    68.6	  -553.9	  -564.3	  1186.3	   -74.1	   0.000	   1.215	   547.0	    30.0	  334359	   24.00	   24.00	   -0.65	   -0.64	    0.00	  19.222	  19.188	  15.403	  15.045	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 13:45:39	  -5.003	  -0.005	  413.35	 1011.50	   17.14	  2088.4	    89.2	  -990.9	  -981.7	  2058.1	  -122.0	   0.000	   1.214	   968.7	    40.0	  444596	   27.00	   27.00	   -1.34	   -1.40	    0.00	  18.987	  18.966	  15.575	  15.180	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 13:46:44	   9.996	  -0.005	  413.85	 1011.45	   17.30	  3360.1	   -87.5	  1614.9	  1571.2	  1771.9	    84.2	   0.000	   1.213	   969.9	    40.0	  444550	   27.00	   27.00	   -1.46	   -1.47	    0.00	  18.813	  18.861	  15.352	  15.095	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 13:47:37	   8.004	  -0.005	  414.67	 1011.41	   17.30	    19.7	    48.3	  2119.2	  1926.6	  -825.2	     5.3	   0.000	   1.213	   971.8	    40.0	  444985	  123.00	  122.99	   11.85	   12.02	    0.00	  18.972	  19.260	  52.866	  52.538	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 13:48:46	   8.004	  -0.005	  409.71	 1011.44	   17.35	  2768.9	   -53.4	  1487.5	  1440.0	  1482.9	    54.7	   0.000	   1.213	   960.1	    39.8	  442213	   27.00	   27.03	   -1.29	   -1.40	    0.00	  20.715	  21.839	  15.233	  14.878	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 13:51:56	   8.004	  -0.005	   -0.94	 1011.41	   17.04	   -10.2	    -8.0	   -28.2	   -25.8	   150.0	     4.0	   0.000	   1.214	    -1.7	     NaN	9223372036854775807	    0.00	    0.00	    0.04	    0.04	    0.00	  21.418	  21.223	  15.529	  15.044	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
