  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 13:17:00	   0.004	  -0.005	   26.08	 1011.45	   16.70	   117.2	    31.1	    -4.0	   -20.7	   137.1	   -16.4	   0.000	   1.216	    61.1	    10.0	  111915	   21.90	   21.90	    0.16	    0.17	    0.00	  19.641	  19.385	  19.810	  19.469	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 13:17:38	   0.004	  -0.005	   26.04	 1011.44	   16.66	   113.5	    18.4	    -6.5	   -17.5	   134.0	    -9.1	   0.000	   1.216	    61.0	    10.0	  111847	   22.20	   22.20	    0.17	    0.16	    0.00	  19.432	  19.215	  20.147	  19.796	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 13:19:27	  13.996	  -0.005	  104.01	 1011.46	   16.65	  1281.4	   -52.0	   266.7	   323.4	  1172.7	    14.1	   0.000	   1.216	   242.6	    20.0	  222992	   20.50	   20.50	   -0.11	   -0.13	    0.00	  18.757	  18.647	  15.400	  15.081	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 13:20:01	  13.996	  -0.005	  104.46	 1011.45	   16.62	  1063.9	   -32.3	   332.9	   369.7	   979.6	     0.6	   0.000	   1.216	   243.7	    20.0	  223503	   44.40	   44.40	    0.50	    0.55	    0.00	  18.572	  18.499	  42.292	  42.044	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 13:20:51	  13.996	  -0.005	  104.08	 1011.46	   16.60	  1283.4	   -52.2	   266.2	   323.4	  1173.8	    14.2	   0.000	   1.216	   242.8	    20.0	  223119	   20.51	   20.50	   -0.12	   -0.14	    0.00	  18.402	  18.366	  15.385	  15.096	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 13:21:53	  13.996	  -0.005	  235.61	 1011.45	   16.69	  2787.1	  -102.0	   788.1	   817.5	  2101.3	    54.3	   0.000	   1.216	   550.4	    30.1	  335799	   24.00	   24.01	   -0.56	   -0.68	    0.00	  18.131	  18.152	  16.163	  15.475	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 13:22:42	  13.996	  -0.005	  235.65	 1011.45	   16.74	  2775.8	  -100.4	   793.2	   820.5	  2093.7	    54.0	   0.000	   1.215	   550.5	    30.1	  335755	   26.00	   26.00	   -0.54	   -0.66	    0.00	  17.998	  18.042	  17.938	  17.115	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 13:23:55	  10.004	  -0.005	  234.79	 1011.47	   16.78	  1795.2	   -56.0	   752.0	   743.4	  1408.5	    32.5	   0.000	   1.215	   548.5	    30.0	  335083	   45.11	   45.10	   -0.16	   -0.39	    0.00	  17.934	  18.013	  35.328	  33.375	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 13:25:05	  10.004	  -0.005	  413.07	 1011.48	   16.99	  2167.2	  -120.0	  1580.5	  1526.1	  1510.2	    97.9	   0.000	   1.214	   968.0	    39.9	  444734	   89.32	   89.29	    3.11	    2.48	    0.00	  18.198	  18.602	  45.897	  45.384	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
