  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      11	   0.000	  -0.005	  0.0441	0.055948	 0.02436	-0.06710	0.055950	  0.0441	0.024354	 0.04433	-0.07813	-0.02499	0.055950	-0.024354	0.044125	 0.04037	-0.08724	-0.02499	   -0.04	    0.01	   -0.03	   -0.03	    0.01	    0.02	   -1.34	 1011.45	   17.03	   1.214	    -2.6	     NaN	NaN	     NaN
      12	   6.996	  -0.005	  0.9538	0.111229	 0.00215	-0.20238	-0.005774	  0.9603	0.002137	-0.00288	-0.44244	-0.00152	0.111229	-0.002137	0.953814	-0.00340	-0.46054	-0.00118	   14.96	   -0.27	  122.12	   -0.60	   -9.42	   -0.21	  234.18	 1011.39	   16.96	   1.214	   547.1	   30.02	2.598E+5	   0.088
      13	  14.000	  -0.005	  1.3714	0.181895	 0.00134	-0.48704	-0.155283	  1.3747	0.001327	-0.00474	-0.83071	-0.00201	0.181895	-0.001327	1.371405	-0.00533	-0.86031	-0.00089	   23.84	   -0.17	  174.41	   -0.94	  -17.68	   -0.16	  234.53	 1011.38	   16.96	   1.214	   547.9	   30.04	2.600E+5	   0.088
      14	  -4.996	  -0.005	 -0.2338	0.073529	 0.00104	-0.15932	0.052889	 -0.2393	0.001037	-0.00009	-0.09949	 0.00215	0.073530	-0.001037	-0.233804	-0.00045	-0.11145	 0.00215	   10.56	   -0.13	  -28.67	   -0.08	   -1.89	    0.38	  233.79	 1011.32	   16.98	   1.214	   546.2	   29.99	2.595E+5	   0.088
      15	  13.996	  -0.005	  1.3424	0.207732	 0.00471	-0.42183	-0.123099	  1.3528	0.004691	-0.00304	-0.76003	-0.00236	0.207732	-0.004691	1.342385	-0.00431	-0.79383	-0.00167	   27.12	   -0.59	  170.77	   -0.76	  -16.29	   -0.30	  234.57	 1011.30	   16.99	   1.214	   548.0	   30.04	2.600E+5	   0.088
      16	  13.996	  -0.005	  1.3376	0.205449	 0.00358	-0.42364	-0.124152	  1.3476	0.003565	-0.00363	-0.76053	-0.00238	0.205449	-0.003565	1.337580	-0.00471	-0.79396	-0.00155	   47.64	   -0.80	  302.14	   -1.48	  -28.93	   -0.49	  415.19	 1011.27	   17.18	   1.213	   973.0	   40.05	3.461E+5	   0.117
      17	   2.507	  -0.005	  0.5572	0.047921	 0.00706	-0.20090	0.023508	  0.5587	0.007053	-0.00228	-0.34058	-0.00035	0.047921	-0.007053	0.557153	-0.00344	-0.34837	-0.00025	   12.51	   -1.58	  127.03	   -1.08	  -12.37	   -0.08	  413.36	 1011.35	   17.31	   1.213	   968.7	   39.97	3.452E+5	   0.117
      18	   6.993	  -0.005	  0.9565	0.109044	 0.00068	-0.20531	-0.008221	  0.9626	0.000669	-0.00275	-0.44597	-0.00128	0.109044	-0.000669	0.956461	-0.00300	-0.46371	-0.00095	   26.04	   -0.15	  217.09	   -0.94	  -16.81	   -0.30	  413.87	 1011.34	   17.38	   1.213	   969.9	   40.00	3.453E+5	   0.117
      19	  -4.996	  -0.005	 -0.3752	0.078780	-0.01640	-0.05633	0.045804	 -0.3807	-0.016405	-0.00236	 0.03883	 0.00726	0.078779	0.016405	-0.375216	-0.00032	 0.02601	 0.00708	    1.25	    0.23	   -5.20	   -0.01	    0.11	    0.14	   26.02	 1011.33	   17.05	   1.214	    61.0	   10.02	8.671E+4	   0.029
