x   2   1.75    1.5 1.43    1   circ 
0   1.03    0.95    0.88    0.86    0.81    0.79
0.1 1.025   0.95    0.878   0.858    0.815   0.8
0.2 1.02    0.95    0.875   0.855   0.815   0.805
0.3 1.015   0.945   0.874   0.858   0.82    0.810
0.4 1.002    0.940   0.875   0.86    0.830   0.818
0.5 0.985   0.933   0.878   0.862   0.835   0.825
0.6 0.975   0.927    0.88    0.865   0.845   0.835
0.7 0.965   0.925   0.884   0.871   0.860   0.850
0.8 0.96    0.93    0.89    0.885   0.885   0.865
0.9 0.955   0.935   0.903   0.90    0.910   0.875
1   0.96    0.945   0.915   0.912   0.950   0.89
