  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      11	 13:55:23	   0.000	  -0.005	   -1.34	 1011.45	   17.03	    -9.5	     0.1	     1.7	     0.6	    -5.2	    -0.5	   0.000	   1.214	    -2.6	     NaN	9223372036854775807	    1.60	    1.44	    1.21	    1.23	    0.00	  21.142	  20.677	  15.530	  15.044	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 13:56:50	   6.996	  -0.005	  234.18	 1011.39	   16.96	  1608.0	   -52.6	   885.6	   871.2	   596.0	    38.7	   0.000	   1.214	   547.1	    30.0	  334371	   24.00	   24.00	   -0.61	   -0.63	    0.00	  19.887	  19.819	  15.878	  15.546	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 13:57:46	  14.000	  -0.005	  234.53	 1011.38	   16.96	  2575.9	   -37.7	  1249.4	  1209.2	   979.0	    30.1	   0.000	   1.214	   547.9	    30.0	  334624	   67.01	   67.00	    1.20	    1.23	    0.00	  19.438	  19.447	  54.877	  54.517	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 13:58:55	  -4.996	  -0.005	  233.79	 1011.32	   16.98	  1168.3	    48.2	  -388.2	  -384.6	   748.7	   -63.1	   0.000	   1.214	   546.2	    30.0	  334052	   24.00	   24.00	   -0.67	   -0.61	    0.00	  19.169	  19.203	  15.419	  15.061	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 14:00:10	  13.996	  -0.005	  234.57	 1011.30	   16.99	  2931.8	   -80.9	  1125.2	  1124.6	  1351.7	    51.3	   0.000	   1.214	   548.0	    30.0	  334591	   49.00	   49.00	    0.15	    0.01	    0.00	  18.940	  18.966	  41.717	  39.215	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 14:01:12	  13.996	  -0.005	  415.19	 1011.27	   17.18	  5163.4	  -116.3	  2073.0	  2040.5	  2041.4	    80.2	   0.000	   1.213	   973.0	    40.0	  445468	   66.79	   66.80	    0.50	    0.04	    0.00	  18.838	  18.887	  48.582	  53.890	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      17	 14:02:30	   2.507	  -0.005	  413.36	 1011.35	   17.31	  1346.8	  -114.4	  1002.8	  1039.8	    73.2	    15.7	   0.000	   1.213	   968.7	    40.0	  444246	   85.80	   85.81	    1.50	    1.33	    0.00	  18.920	  19.041	  45.266	  53.268	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      18	 14:03:16	   6.993	  -0.005	  413.87	 1011.34	   17.38	  2812.8	   -55.6	  1608.4	  1564.2	   923.9	    52.4	   0.000	   1.213	   969.9	    40.0	  444381	   28.40	   28.40	   -1.41	   -1.35	    0.00	  19.061	  19.350	  16.498	  16.166	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      19	 14:05:04	  -4.996	  -0.005	   26.02	 1011.33	   17.05	   156.5	    42.3	   -66.1	   -83.1	   147.3	   -25.9	   0.000	   1.214	    61.0	    10.0	  111604	   20.30	   20.30	    0.14	    0.13	    0.00	  19.223	  19.387	  17.399	  17.070	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      20	 14:06:08	  -0.004	  -0.005	   25.84	 1011.30	   16.98	   130.7	    26.6	    29.9	    15.0	    60.1	   -16.7	   0.000	   1.214	    60.6	    10.0	  111240	   18.50	   18.50	    0.10	    0.08	    0.00	  19.153	  19.225	  15.464	  15.197	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      21	 14:07:44	  -0.004	  -0.005	  104.35	 1011.16	   16.90	   487.0	   -44.0	    89.5	   115.3	   181.9	    10.3	   0.000	   1.214	   243.4	    20.0	  223084	   33.60	   33.60	   -0.03	   -0.05	    0.00	  18.780	  18.840	  25.805	  25.323	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      22	 14:08:42	   7.000	  -0.005	  104.35	 1011.16	   16.85	   507.1	   -37.9	   428.0	   424.3	   148.2	    17.2	   0.000	   1.215	   243.4	    20.0	  223133	   45.80	   45.80	    0.46	    0.43	    0.00	  18.627	  18.709	  40.954	  40.073	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      23	 14:10:02	   8.000	  -0.005	  413.73	 1011.16	   17.10	   300.8	    60.1	  2379.0	  2180.6	 -1389.4	     2.3	   0.000	   1.214	   969.6	    40.0	  444821	  122.99	  123.00	   12.52	   11.62	    0.00	  19.006	  19.630	  52.977	  52.604	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      24	 14:11:14	   8.000	  -0.005	  414.46	 1011.18	   17.26	  3032.3	   -82.9	  1723.2	  1685.2	  1013.9	    72.1	   0.000	   1.213	   971.3	    40.0	  444893	   27.50	   27.50	   -1.37	   -1.38	    0.00	  20.826	  22.043	  15.531	  15.165	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      25	 14:14:26	   8.000	  -0.005	   -1.20	 1011.21	   16.96	   -20.1	   -10.4	   -27.5	   -23.0	   144.9	     5.0	   0.000	   1.214	    -2.3	     NaN	9223372036854775807	    0.00	    0.00	    0.05	    0.04	    0.00	  21.444	  21.277	  15.588	  15.217	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
