  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 14:23:55	  -2.497	  -0.005	  414.81	 1011.25	   17.06	  2025.4	   -23.6	     9.4	    57.9	   609.6	   -52.7	   0.000	   1.214	   972.1	    40.0	  445501	   45.20	   45.20	   -1.07	   -1.14	    0.00	  19.505	  19.435	  30.428	  29.684	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 14:24:58	  -2.497	  -0.005	  413.38	 1011.24	   17.30	  2069.0	     8.6	    17.1	    45.4	   632.0	   -69.4	   0.000	   1.213	   968.7	    40.0	  444250	   27.50	   27.50	   -1.25	   -1.31	    0.00	  19.062	  19.115	  16.513	  16.158	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 14:26:06	   2.493	  -0.005	  233.02	 1011.25	   17.19	  1097.9	   -25.1	   622.1	   616.1	    52.9	    -4.3	   0.000	   1.213	   544.4	    30.0	  333175	   60.20	   60.19	    0.14	    0.13	    0.00	  18.926	  19.026	  52.303	  51.212	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 14:27:16	  12.000	  -0.005	  232.72	 1011.21	   17.06	  2775.9	   -67.3	  1132.2	  1121.7	   979.7	    47.2	   0.000	   1.214	   543.7	    29.9	  333149	   30.79	   30.80	   -0.53	   -0.55	    0.00	  18.834	  18.946	  22.001	  20.861	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 14:28:22	  12.000	  -0.005	  104.50	 1011.24	   16.93	  1274.2	   -54.7	   465.3	   484.2	   639.1	    29.2	   0.000	   1.214	   243.8	    20.0	  223216	   24.00	   24.00	   -0.05	   -0.16	    0.00	  18.695	  18.737	  18.666	  17.590	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 14:29:12	  14.000	  -0.005	  104.54	 1011.23	   16.84	  1577.2	   -53.7	   418.2	   472.1	   894.2	    11.2	   0.000	   1.215	   243.9	    20.0	  223351	   24.02	   23.99	    0.04	   -0.09	    0.00	  18.575	  18.578	  19.347	  18.635	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 14:31:00	  14.000	  -0.005	   26.05	 1011.25	   16.72	   406.5	    38.9	    66.5	    49.9	   520.1	   -21.7	   0.000	   1.215	    61.1	    10.0	  111826	   20.41	   20.40	    0.19	    0.20	    0.00	  18.381	  18.357	  18.897	  18.384	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 14:31:45	  14.000	  -0.005	   26.00	 1011.24	   16.69	   418.4	    26.8	    58.9	    47.2	   535.0	   -13.7	   0.000	   1.215	    61.0	    10.0	  111739	   18.00	   18.00	    0.17	    0.15	    0.00	  18.289	  18.298	  16.449	  15.957	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 14:32:53	   8.004	  -0.005	  413.11	 1011.26	   16.87	   748.4	    92.0	  2585.5	  2365.4	 -1735.5	   -15.9	   0.000	   1.215	   968.1	    39.9	  444946	  122.99	  122.98	   12.17	   11.91	    0.00	  18.413	  18.986	  51.267	  51.597	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 14:34:19	   8.004	  -0.005	  415.17	 1011.24	   17.18	  3377.7	   -97.3	  1878.2	  1841.0	   754.5	    79.5	   0.000	   1.213	   973.0	    40.0	  445449	   27.50	   27.50	   -1.42	   -1.38	    0.00	  20.930	  22.656	  15.457	  15.088	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
