  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	   7.000	  -0.005	  0.9156	0.110086	-0.01387	 0.03082	-0.002312	  0.9222	-0.013880	-0.00301	-0.19973	 0.00294	0.110085	0.013880	0.915605	-0.00037	-0.21764	 0.00334	    1.63	    0.19	   12.91	   -0.01	   -0.48	    0.06	   25.68	 1011.51	   16.87	   1.215	    60.2	    9.96	8.623E+4	   0.029
       2	   7.000	  -0.005	  0.8762	0.104776	 0.00473	 0.01618	-0.002774	  0.8824	0.004717	-0.00275	-0.20442	-0.00124	0.104777	-0.004717	0.876164	-0.00365	-0.22147	-0.00091	    6.26	   -0.26	   49.72	   -0.29	   -1.96	   -0.07	  103.82	 1011.53	   16.76	   1.215	   242.2	   19.96	1.730E+5	   0.058
       3	   2.507	  -0.005	  0.4716	0.051603	 0.00201	 0.02557	0.030925	  0.4735	0.002009	-0.00308	-0.09279	-0.00031	0.051603	-0.002009	0.471648	-0.00341	-0.10119	-0.00018	    3.38	   -0.11	   27.35	   -0.27	   -0.82	   -0.01	  105.26	 1011.55	   16.74	   1.216	   245.6	   20.10	1.742E+5	   0.059
       4	  -5.003	  -0.005	 -0.3304	0.044809	 0.00466	 0.07140	0.015826	 -0.3330	0.004651	-0.00074	 0.15466	 0.00093	0.044810	-0.004651	-0.330395	-0.00158	 0.14737	 0.00087	    6.97	   -0.59	  -41.00	   -0.28	    3.51	    0.15	  234.59	 1011.53	   16.89	   1.215	   548.0	   30.04	2.601E+5	   0.088
       5	  -5.003	  -0.005	 -0.3161	0.076265	-0.00048	 0.07408	0.048412	 -0.3215	-0.000491	-0.00053	 0.15445	 0.00258	0.076265	0.000491	-0.316060	-0.00068	 0.14205	 0.00254	   10.93	    0.06	  -39.11	   -0.12	    3.39	    0.45	  234.14	 1011.52	   16.96	   1.215	   547.0	   30.01	2.598E+5	   0.088
       6	  -5.003	  -0.005	 -0.3199	0.074845	 0.00088	 0.07703	0.046666	 -0.3252	0.000870	 0.00000	 0.15832	 0.00241	0.074845	-0.000870	-0.319863	-0.00035	 0.14615	 0.00242	   19.03	   -0.19	  -70.11	   -0.11	    6.16	    0.76	  413.35	 1011.50	   17.14	   1.214	   968.7	   39.95	3.454E+5	   0.117
       7	   9.996	  -0.005	  1.0587	0.131895	 0.00136	-0.06168	-0.053874	  1.0655	0.001348	-0.00289	-0.32806	-0.00214	0.131895	-0.001348	1.058695	-0.00345	-0.34952	-0.00166	   31.01	   -0.30	  238.91	   -1.08	  -12.55	   -0.52	  413.85	 1011.45	   17.30	   1.213	   969.9	   39.99	3.454E+5	   0.117
       8	   8.004	  -0.005	  1.0011	-0.005406	-0.00413	-0.10908	-0.144740	  0.9906	-0.004129	-0.00743	-0.35672	-0.00096	-0.005406	0.004129	1.001056	-0.00683	-0.35584	 0.00008	    0.36	    0.93	  227.61	   -2.14	  -12.88	    0.02	  414.67	 1011.41	   17.30	   1.213	   971.8	   40.03	3.457E+5	   0.117
       9	   8.004	  -0.005	  0.9600	0.108663	 0.00034	-0.01086	-0.026064	  0.9658	0.000335	-0.00278	-0.25230	-0.00136	0.108663	-0.000335	0.959995	-0.00300	-0.26998	-0.00098	   25.65	   -0.07	  215.77	   -0.93	   -9.58	   -0.31	  409.71	 1011.44	   17.35	   1.213	   960.1	   39.79	3.436E+5	   0.116
      10	   8.004	  -0.005	  0.1257	-0.275485	 0.06343	-0.25839	-0.290301	  0.0861	0.063458	 0.09537	-0.27992	-0.04098	-0.275479	-0.063458	0.125722	 0.07828	-0.23510	-0.05479	    0.10	    0.02	   -0.05	   -0.04	    0.01	    0.03	   -0.94	 1011.41	   17.04	   1.214	    -1.7	     NaN	NaN	     NaN
