  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  -2.497	  -0.005	  0.0805	0.072558	 0.00501	-0.30089	0.075999	  0.0773	0.005000	-0.00020	-0.32022	 0.00095	0.072559	-0.005000	0.080542	-0.00106	-0.33202	 0.00094	   18.44	   -1.12	   19.38	   -0.33	  -11.62	    0.30	  414.81	 1011.25	   17.06	   1.214	   972.1	   40.02	3.461E+5	   0.117
       2	  -2.497	  -0.005	  0.0820	0.074636	 0.00365	-0.30486	0.078139	  0.0787	0.003646	-0.00043	-0.32453	 0.00131	0.074637	-0.003646	0.082011	-0.00108	-0.33668	 0.00129	   18.85	   -0.82	   19.64	   -0.34	  -11.76	    0.41	  413.38	 1011.24	   17.30	   1.213	   968.7	   39.97	3.452E+5	   0.117
       3	   2.493	  -0.005	  0.6041	0.072150	 0.00370	-0.34917	0.045802	  0.6067	0.003697	-0.00252	-0.50084	 0.00002	0.072151	-0.003697	0.604135	-0.00311	-0.51258	 0.00013	   10.08	   -0.46	   77.29	   -0.55	  -10.36	    0.02	  233.02	 1011.25	   17.19	   1.213	   544.4	   29.95	2.589E+5	   0.088
       4	  12.000	  -0.005	  1.2822	0.197873	 0.00355	-0.53561	-0.073045	  1.2954	0.003529	-0.00270	-0.85945	-0.00222	0.197873	-0.003529	1.282236	-0.00369	-0.89164	-0.00169	   25.60	   -0.44	  162.04	   -0.65	  -18.26	   -0.30	  232.72	 1011.21	   17.06	   1.214	   543.7	   29.93	2.588E+5	   0.088
       5	  12.000	  -0.005	  1.2987	0.203377	 0.00825	-0.52714	-0.071094	  1.3126	0.008237	-0.00083	-0.85531	-0.00239	0.203377	-0.008237	1.298746	-0.00267	-0.88839	-0.00227	   11.79	   -0.46	   73.59	   -0.21	   -8.16	   -0.18	  104.50	 1011.24	   16.93	   1.214	   243.8	   20.04	1.734E+5	   0.059
       6	  14.000	  -0.005	  1.3434	0.253810	 0.01162	-0.61320	-0.078737	  1.3649	0.011601	 0.00244	-0.95444	 0.00017	0.253811	-0.011601	1.343434	 0.00052	-0.99573	-0.00043	   14.66	   -0.65	   76.06	    0.04	   -9.13	   -0.03	  104.54	 1011.23	   16.84	   1.215	   243.9	   20.04	1.735E+5	   0.059
       7	  14.000	  -0.005	  1.3647	0.269870	-0.02952	-0.76461	-0.068308	  1.3895	-0.029539	-0.00586	-1.11198	 0.00760	0.269867	0.029539	1.364723	 0.00108	-1.15588	 0.00929	    3.90	    0.42	   19.35	    0.02	   -2.66	    0.18	   26.05	 1011.25	   16.72	   1.215	    61.1	   10.02	8.689E+4	   0.029
       8	  14.000	  -0.005	  1.3487	0.278144	-0.02289	-0.73520	-0.056396	  1.3759	-0.022916	-0.00509	-1.07918	 0.00523	0.278142	0.022916	1.348674	 0.00014	-1.12443	 0.00666	    4.01	    0.32	   19.08	    0.00	   -2.58	    0.13	   26.00	 1011.24	   16.69	   1.215	    61.0	   10.02	8.682E+4	   0.029
       9	   8.004	  -0.005	  1.1532	0.024573	-0.00608	-0.57689	-0.136232	  1.1453	-0.006079	-0.00768	-0.86323	-0.00055	0.024573	0.006079	1.153153	-0.00669	-0.86722	 0.00052	    7.06	    1.36	  260.77	   -2.10	  -31.70	    0.16	  413.11	 1011.26	   16.87	   1.215	   968.1	   39.92	3.457E+5	   0.117
      10	   8.004	  -0.005	  1.0836	0.132047	 0.00211	-0.38498	-0.020119	  1.0914	0.002102	-0.00308	-0.65783	-0.00190	0.132047	-0.002102	1.083587	-0.00366	-0.67932	-0.00148	   31.25	   -0.47	  246.44	   -1.15	  -24.89	   -0.47	  415.17	 1011.24	   17.18	   1.213	   973.0	   40.05	3.461E+5	   0.117
