  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	   0.004	  -0.005	  0.1227	0.067507	-0.02025	 0.30110	0.067497	  0.1227	-0.020255	-0.00195	 0.27043	 0.00539	0.067505	0.020255	0.122674	 0.00135	 0.25944	 0.00539	    1.08	    0.29	    1.86	    0.03	    0.64	    0.11	   26.08	 1011.45	   16.70	   1.216	    61.1	   10.03	8.695E+4	   0.029
       2	   0.004	  -0.005	  0.1204	0.065175	-0.01225	 0.29890	0.065165	  0.1204	-0.012255	-0.00196	 0.26880	 0.00299	0.065173	0.012255	0.120415	 0.00004	 0.25819	 0.00299	    1.04	    0.17	    1.82	    0.00	    0.64	    0.06	   26.04	 1011.44	   16.66	   1.216	    61.0	   10.02	8.690E+4	   0.029
       3	  13.996	  -0.005	  1.1439	0.206593	 0.01056	 0.02186	-0.076191	  1.1599	0.010538	 0.00356	-0.26811	 0.00021	0.206594	-0.010538	1.143867	 0.00179	-0.30173	-0.00067	   11.94	   -0.59	   64.49	    0.14	   -2.66	   -0.05	  104.01	 1011.46	   16.65	   1.216	   242.6	   19.98	1.733E+5	   0.059
       4	  13.996	  -0.005	  1.1773	0.170126	 0.00791	-0.01952	-0.119666	  1.1835	0.007891	 0.00088	-0.31539	 0.00066	0.170126	-0.007891	1.177314	-0.00026	-0.34307	 0.00046	    9.94	   -0.44	   66.65	   -0.02	   -3.06	    0.04	  104.46	 1011.45	   16.62	   1.216	   243.7	   20.02	1.737E+5	   0.059
       5	  13.996	  -0.005	  1.1432	0.206779	 0.01058	 0.02138	-0.075854	  1.1593	0.010563	 0.00365	-0.26844	 0.00023	0.206779	-0.010563	1.143218	 0.00188	-0.30208	-0.00068	   11.96	   -0.59	   64.49	    0.15	   -2.67	   -0.05	  104.08	 1011.46	   16.60	   1.216	   242.8	   19.98	1.734E+5	   0.059
       6	  13.996	  -0.005	  1.1706	0.196330	 0.00703	 0.06631	-0.092605	  1.1833	0.007017	-0.00185	-0.22952	-0.00218	0.196331	-0.007017	1.170558	-0.00349	-0.26146	-0.00178	   25.79	   -0.89	  149.68	   -0.62	   -5.19	   -0.32	  235.61	 1011.45	   16.69	   1.216	   550.4	   30.09	2.609E+5	   0.088
       7	  13.996	  -0.005	  1.1728	0.195477	 0.00685	 0.06727	-0.093977	  1.1853	0.006836	-0.00194	-0.22905	-0.00218	0.195477	-0.006836	1.172805	-0.00355	-0.26085	-0.00177	   25.68	   -0.87	  149.99	   -0.63	   -5.18	   -0.31	  235.65	 1011.45	   16.74	   1.215	   550.5	   30.10	2.609E+5	   0.088
       8	  10.004	  -0.005	  0.9882	0.124686	 0.00345	 0.15687	-0.048877	  0.9948	0.003439	-0.00302	-0.09184	-0.00154	0.124686	-0.003439	0.988205	-0.00381	-0.11212	-0.00103	   16.63	   -0.44	  126.18	   -0.68	   -2.13	   -0.18	  234.79	 1011.47	   16.78	   1.215	   548.5	   30.04	2.603E+5	   0.088
       9	  10.004	  -0.005	  1.0101	0.083081	 0.00293	 0.13624	-0.093655	  1.0092	0.002923	-0.00429	-0.11606	-0.00266	0.083081	-0.002923	1.010112	-0.00517	-0.12958	-0.00195	   20.04	   -0.65	  227.59	   -1.62	   -4.41	   -0.61	  413.07	 1011.48	   16.99	   1.214	   968.0	   39.93	3.455E+5	   0.117
