x    lamda=0.35     0.5     0.5     0.707     1.0     1.0     1.0
k    0.6       0.4,0.5,0.6  0.7     0.6     0.4,0.5   0.6     0.7
0    0              0       0       0         0       0        0
0.05    0.5         0.25    0.24    0.15      0.08    0.08    0.078
0.1     0.8         0.48    0.46    0.29      0.16    0.16    0.152
0.15    1.2         0.7     0.675    0.39      0.28    0.278   0.265
0.20    1.2         0.83    0.80    0.52      0.34    0.335   0.320
0.25    1.2         0.94    0.905   0.61      0.415   0.405   0.388
0.30    1.2         1.05    1.01    0.70      0.49    0.478   0.458
0.35    1.2         1.14    1.095    0.78      0.555    0.54   0.518
0.40    1.2         1.19    1.13    0.845     0.6     0.582   0.559
